Model,Precision,Recall,F1,AUC
One-Class SVM (Optuna),0.6243093922651933,0.9495798319327731,0.7533333333333333,0.7215431627196334
Isolation Forest (Optuna),0.6805555555555556,0.8235294117647058,0.7452471482889734,0.7172459893048129
LOF,0.673469387755102,0.8319327731092437,0.7443609022556391,0.7419786096256683
LOF (Optuna),0.6736111111111112,0.8151260504201681,0.7376425855513308,0.7469442322383499
Isolation Forest,0.6838235294117647,0.7815126050420168,0.7294117647058823,0.6974789915966387
One-Class SVM,0.6643356643356644,0.7983193277310925,0.7251908396946565,0.7242169595110772
HBOS,0.6595744680851063,0.7815126050420168,0.7153846153846154,0.6722689075630252
COPOD,0.6793893129770993,0.7478991596638656,0.712,0.6816271963330788
GMM 2 components,0.7264150943396226,0.6470588235294118,0.6844444444444444,0.7551566080977845
PCA Reconstruction,0.7264150943396226,0.6470588235294118,0.6844444444444444,0.7288961038961038
ECOD,0.6864406779661016,0.680672268907563,0.6835443037974683,0.6765660809778458
